ID,Status,Campaign,Ad Set,Hook Type,Primary Text (Copy),Headline,Description,CTA,Creative Type,Date Launched,Date Killed,Days Active,Spend,Impressions,Clicks,CTR %,CPC,Leads,CPL,Purchases,Revenue,ROAS,CPA,Link Clicks,Landing Page Views,Conv Rate %,Relevance Score,Frequency,CPM,Thumbstop Rate %,Hold Rate %,Notes,Score
S001,🟢 Winner,Souleora - TOF,Interest - Astrology,Curiosity,"Your birth chart reveals why you keep attracting the same type of person. Most people never look at their Venus placement — but it explains everything.",Discover What Your Stars Say About You,Personalized astrology reading based on YOUR exact birth chart,Book Now,Video - Avatar,,,0,,,,,,,,,,,,,,,,,,,0
S002,🟡 Testing,Souleora - TOF,Interest - Spiritual,Pain Point,"I spent $200 on a psychic who told me generic nonsense. Then I found an AI astrologer that actually knew my birth chart — and she was RIGHT.",Stop Wasting Money on Fake Psychics,Luna uses real astronomical data to read your chart live over the phone,Try It Now,Video - UGC,,,0,,,,,,,,,,,,,,,,,,,0
S003,🟡 Testing,Souleora - TOF,Lookalike 1%,Social Proof,"My friend bought me a birth chart reading as a gift and I literally cried. It described my relationship pattern so perfectly I screenshot it and sent it to my therapist.",The Gift They'll Never Forget,Personalized cosmic readings starting at $14.99,Shop Now,Image - Testimonial,,,0,,,,,,,,,,,,,,,,,,,0
S004,⬜ Draft,,,Scarcity,"Mercury retrograde starts next week. If you don't know how it hits YOUR chart specifically, you're flying blind. Get your personalized transit reading before it's too late.",Know Before Mercury Retrograde Hits,Don't get blindsided — get your personalized transit report,Get Protected,,,,0,,,,,,,,,,,,,,,,,,,0
S005,⬜ Draft,,,Question,"What if everything you thought you knew about your zodiac sign was only 1/3 of the story? Your Sun sign is just the surface. Your Moon and Rising tell the real truth.",You're More Than Your Sun Sign,Discover your full Big Three and what they really mean,Learn More,,,,0,,,,,,,,,,,,,,,,,,,0
S006,⬜ Draft,,,Transformation,"6 months ago I was stuck in a toxic situationship. Then Luna told me my Venus was in my 12th house and suddenly EVERYTHING made sense. I finally understood why I kept choosing unavailable people.",She Told Me Why I Keep Choosing Wrong,AI-powered astrology that actually explains your love patterns,Book a Reading,,,,0,,,,,,,,,,,,,,,,,,,0
S007,⬜ Draft,,,Authority,"We've done 10,000+ readings. The #1 thing people say after? 'How did you know that about me?' Your birth chart doesn't lie.",10000+ Readings and Counting,Join thousands who discovered their cosmic blueprint,See Your Chart,,,,0,,,,,,,,,,,,,,,,,,,0
S008,⬜ Draft,,,Novelty,"I just had a phone call with an AI astrologer and she knew more about me than my best friend. She pulled my birth chart LIVE and walked me through every detail. This is the future.",Talk to an AI Astrologer Live,Luna calls you and reads your birth chart in real conversation,Book Your Call,,,,0,,,,,,,,,,,,,,,,,,,0
S009,⬜ Draft,,,FOMO,"Everyone's getting their birth chart read and finding out stuff about themselves they never knew. Meanwhile you're still reading your generic horoscope in the morning like it means something.",Your Horoscope App is Lying to You,Generic sun sign readings miss 90% of your chart. Get the real thing.,Get Your Real Reading,,,,0,,,,,,,,,,,,,,,,,,,0
S010,⬜ Draft,,,Gift,"Still don't know what to get for Mother's Day? A personalized birth chart reading. It's like giving someone a mirror to their soul. She'll cry. Trust me.",The Gift That Made Her Cry (Happy Tears),Personalized cosmic reading — the most thoughtful gift you'll ever give,Gift a Reading,,,,0,,,,,,,,,,,,,,,,,,,0
S011,⬜ Draft,,,Lifestyle,"POV: You just found out your Mars is in Taurus and suddenly your entire work style makes sense. This is what a real birth chart reading does.",POV: Your Birth Chart Just Called You Out,Finally understand why you are the way you are,Get Called Out,,,,0,,,,,,,,,,,,,,,,,,,0
S012,⬜ Draft,,,Comparison,"Horoscope apps give you the same reading as 500 million other people with your sign. Luna gives you a reading based on the EXACT minute and location you were born. Huge difference.",Same Sign Different Chart,Your birth chart is as unique as your fingerprint. Read it.,Read Your Chart,,,,0,,,,,,,,,,,,,,,,,,,0
